Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
8,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,17.83,> 18,,near
8,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,4.48,,,
8,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
8,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
8,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
8,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
8,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
8,MMPA_V1_v15tb_01,/vdd!,,,,
8,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
8,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.4G,,,,,,
9,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.22,,,
9,MMPA_V1_v15tb_11,hb_peakPAE_value,25.24,,,
9,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.7,> 18,,near
9,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.22,,,
9,MMPA_V1_v15tb_11,hb_comp_curve,,,,
9,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
9,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
9,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
9,MMPA_V1_v15tb_10,hb_comp_curve,,,,
9,MMPA_V1_v15tb_10,hb_ocp1dbm_value,12.31,,,
9,MMPA_V1_v15tb_10,hb_peakPAE_value,22.11,,,
9,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.09,> 18,,pass
9,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,15.16,,,
9,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
9,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
9,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
9,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
9,MMPA_V1_v15tb_10,/vdd!,,,,
9,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
9,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
9,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
9,MMPA_V1_v15tb_01,hb_comp_curve,,,,
9,MMPA_V1_v15tb_01,hb_ocp1dbm_value,5.069,,,
9,MMPA_V1_v15tb_01,hb_peakPAE_value,8.57,,,
9,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.36,> 18,,pass
9,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,3.85,,,
9,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
9,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
9,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
9,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
9,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
9,MMPA_V1_v15tb_01,/vdd!,,,,
9,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
9,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.45G,,,,,,
10,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.16,,,
10,MMPA_V1_v15tb_11,hb_peakPAE_value,25.15,,,
10,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.92,> 18,,near
10,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.08,,,
10,MMPA_V1_v15tb_11,hb_comp_curve,,,,
10,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
10,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
10,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
10,MMPA_V1_v15tb_10,hb_comp_curve,,,,
10,MMPA_V1_v15tb_10,hb_ocp1dbm_value,11.94,,,
10,MMPA_V1_v15tb_10,hb_peakPAE_value,22.13,,,
10,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.52,> 18,,pass
10,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,13.96,,,
10,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
10,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
10,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
10,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
10,MMPA_V1_v15tb_10,/vdd!,,,,
10,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
10,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
10,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
