Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
214,11.7008700107777,24.1297283255511,18.3213918377713,-5.63280724881387,9.16302074694805,wave,wave,wave,wave
215,11.8974367127884,24.4823409091766,18.398756019063,-5.50209962354074,9.54526531365349,wave,wave,wave,wave
216,12.177618743206,25.7058264105215,18.7539857820797,-5.57446929678657,10.8148333222379,wave,wave,wave,wave
217,11.8159952932981,24.4971020205977,17.8832271773059,-5.07153485054968,10.3419504882425,wave,wave,wave,wave
218,11.8700947774502,24.4662785164323,18.9906139477558,-6.12381205927765,9.09140422882971,wave,wave,wave,wave
219,11.853181414131,23.7837260647107,18.5916929449935,-5.74719468497442,8.97350292808134,wave,wave,wave,wave
220,11.9986294316024,24.8668111415317,18.5298444869099,-5.52769637972024,10.1507339203541,wave,wave,wave,wave
221,11.5879996243986,24.0431059704605,17.5742162183369,-4.9973991307994,9.55564194673953,wave,wave,wave,wave
222,11.7431403874749,23.3806581202975,19.3996181077522,-6.66232903681747,7.93143328269895,wave,wave,wave,wave
223,11.450552714307,23.4420729704036,17.8154722104675,-5.37710085280748,8.9929674263657,wave,wave,wave,wave
224,11.6849793284072,23.2295414516347,19.0553775487923,-6.37653074592328,7.96268122975687,wave,wave,wave,wave
225,11.3074379782164,23.348517119794,17.148079247271,-4.85345944055222,9.14605034712805,wave,wave,wave,wave
226,12.0632843136901,24.9005035824467,18.7971883321707,-5.72998640721148,9.70818302971154,wave,wave,wave,wave
227,11.7737398103218,24.3205164121044,18.4152377727249,-5.65206737080233,9.35035072756989,wave,wave,wave,wave
228,11.8343393782836,24.5913622736957,18.4251757055256,-5.59451526951998,9.59120587454908,wave,wave,wave,wave
229,11.7511691763274,24.5621054178808,18.2342670814762,-5.4939088522955,9.92963903761123,wave,wave,wave,wave
230,12.2217568911229,25.7477869991191,18.4509946605047,-5.23246809946717,10.8927526259741,wave,wave,wave,wave
231,11.656635587886,22.6688818324935,18.9914472266512,-6.33582377802517,7.86620035393044,wave,wave,wave,wave
232,11.777462070042,23.6249363916009,18.5356498444735,-5.76847350014117,8.65970302062808,wave,wave,wave,wave
233,11.9766441731507,24.4626566432419,19.0271743584175,-6.04897540823162,9.13198359920627,wave,wave,wave,wave
