Point,"hb_comp_curve","hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
333,wave,10.2793098013114,20.7979557548241,18.8524208863389,-7.530401249047,8.48813747979383,wave,wave,wave
334,wave,10.1718159304146,20.5036281734832,19.1636492219651,-7.95113090277138,8.10857390624844,wave,wave,wave
335,wave,10.4124190309084,21.2570597887787,18.7109114055646,-7.271113033904,10.5486371407329,wave,wave,wave
336,wave,10.4476620615927,21.3388637020316,18.6418473887021,-7.1587584275629,10.6156163716768,wave,wave,wave
337,wave,10.2640632146883,20.8994806815763,19.1299147521602,-7.82316431069405,8.6351379586815,wave,wave,wave
338,wave,10.3294156112137,21.2307890983878,19.0779868775899,-7.7182245804085,9.29456393269511,wave,wave,wave
339,wave,10.1313142178126,20.3417489169793,18.4932593601311,-7.32744532573251,9.16100844711308,wave,wave,wave
340,wave,10.3807105022855,21.1427958197872,18.6345772937101,-7.21434095937182,9.57117707180246,wave,wave,wave
341,wave,10.3480560074431,20.7973132679956,18.8545575515877,-7.48099673056708,9.47745439240403,wave,wave,wave
342,wave,10.4279644328571,21.1098220831721,18.7492207847573,-7.29071548670184,10.1614942453087,wave,wave,wave
343,wave,10.4281481033965,20.2819596106355,17.9358330946703,-6.49782805990146,11.5190042134014,wave,wave,wave
344,wave,10.4556172733854,21.3652283023783,19.0197693079026,-7.53462228079016,10.5791856307795,wave,wave,wave
345,wave,10.2404465031569,20.9123961015279,18.5268244798042,-7.26651977325458,10.3650592752613,wave,wave,wave
346,wave,10.2733412856837,20.3566039712264,18.1728573637246,-6.86847166462709,10.3979772866807,wave,wave,wave
347,wave,10.4153331991652,21.2476366844417,18.9382982980063,-7.49818295431979,10.027921474814,wave,wave,wave
348,wave,10.3346780599884,20.8284037539191,18.5060678798687,-7.14974434360466,10.5033319992234,wave,wave,wave
349,wave,10.4909258404795,22.0294877805114,19.3094275189106,-7.77873079917475,9.44219813090856,wave,wave,wave
350,wave,10.4136024538212,20.9909838425533,18.8978961635678,-7.45681786555525,9.94324266724537,wave,wave,wave
351,wave,10.3883245461875,21.0844643664852,18.6708669643887,-7.24606567128143,9.5744592284468,wave,wave,wave
352,wave,10.8156370949083,21.4079652944964,18.8962680215898,-7.0762941697359,11.3793031673741,wave,wave,wave
353,wave,10.4372198216848,21.2647001937097,18.7383179292625,-7.26660257940426,10.0879432134749,wave,wave,wave
354,wave,10.2896123276991,20.7776533752461,18.5205079520331,-7.20437528112079,9.85223518795794,wave,wave,wave
355,wave,10.1968755935105,20.088710913879,19.3392571688398,-8.10554753540755,8.22111911132523,wave,wave,wave
356,wave,10.273907524941,20.7718687342279,19.0081776895908,-7.70473527306088,9.2676106634705,wave,wave,wave
357,wave,10.505872700219,21.5908334913071,19.4995000786978,-7.95012598036487,9.08800352571345,wave,wave,wave
358,wave,10.3677534688175,20.9899704461215,18.6963947806308,-7.30310892703785,10.2749575335434,wave,wave,wave
359,wave,10.313006246496,21.1703539494023,18.5703101616396,-7.22305597995312,9.89305796797029,wave,wave,wave
360,wave,10.3492761452002,21.3581578624412,19.4347801966654,-8.05192549172875,8.88981099876809,wave,wave,wave
361,wave,10.2202756092884,20.3165229850548,18.2866532588782,-7.04100240186865,10.0922746503646,wave,wave,wave
362,wave,10.3821277164633,21.3674586854366,18.8235452647097,-7.40540111868348,9.87213836825109,wave,wave,wave
363,wave,10.4283526726908,20.9589943359983,18.7737968982333,-7.32380241807095,10.1059934607587,wave,wave,wave
364,wave,10.2726652094748,21.113744608394,18.9546146156413,-7.64889672937741,9.06237004038815,wave,wave,wave
365,wave,10.4293675115102,21.1072238073635,19.1043436861598,-7.63824725170861,9.62333541149473,wave,wave,wave
366,wave,10.3334955667481,20.6836859050481,18.1287200739011,-6.7747971159816,11.5607883036084,wave,wave,wave
367,wave,10.3468378341404,21.3857965398257,19.1910172961552,-7.80344240579835,9.46085274950696,wave,wave,wave
368,wave,10.1662731566681,20.7098480631793,18.9518360549058,-7.7491888148487,8.67342336836972,wave,wave,wave
369,wave,10.5094498977882,21.615252197607,18.9503142827275,-7.39397125059502,9.58006268094425,wave,wave,wave
370,wave,10.6024038630394,21.203766280076,19.1167722829417,-7.49806902365656,10.4100765717407,wave,wave,wave
371,wave,10.3097910365362,20.9058128318956,18.5580461947871,-7.21996966802607,9.99903537603773,wave,wave,wave
372,wave,10.3443747872689,20.7663922300634,18.497996353069,-7.13439076420894,10.3184326068864,wave,wave,wave
373,wave,10.3607189402529,19.9082022991303,18.3724076046445,-6.99360124069606,9.97755320711397,wave,wave,wave
374,wave,10.4027298388276,21.0715043413556,18.9361983315393,-7.50384168327078,9.94846869290871,wave,wave,wave
375,wave,10.2930743834086,21.4135665834847,19.8615704658243,-8.52548114797441,8.02454543727004,wave,wave,wave
376,wave,10.3918597501763,21.5255583301307,19.0074901865002,-7.58030468327768,9.43586703402064,wave,wave,wave
377,wave,10.2592644944615,20.2483703016381,18.0407119019719,-6.74484205841935,9.46477235825896,wave,wave,wave
378,wave,10.3775771326194,20.8157760461348,18.3207335053469,-6.92559962004781,11.1757329533858,wave,wave,wave
379,wave,10.3254419819024,20.9193998749298,19.0598933255877,-7.69930902441729,9.32312180757185,wave,wave,wave
380,wave,10.4172361587857,21.850213332268,19.4698301793788,-8.01502223213266,9.43258779261716,wave,wave,wave
381,wave,10.3617471518083,20.7466029432283,18.4529677876523,-7.07163208950562,10.6820058775642,wave,wave,wave
382,wave,10.2827648977434,20.7897953636919,18.5002900208581,-7.18627802852796,9.73226575388979,wave,wave,wave
383,wave,10.3943248627163,20.4259173429686,18.4445888483492,-7.03662396687277,10.3028399837545,wave,wave,wave
384,wave,10.7685437282101,19.5244358910481,18.2386740207579,-6.46373535724962,10.3617119860482,wave,wave,wave
385,wave,10.3095065535359,20.9826110479354,18.6836285756001,-7.35275119183194,10.3662020955901,wave,wave,wave
386,wave,10.4217388246805,21.2325463073264,18.6018229958513,-7.14032195070649,10.1168380879096,wave,wave,wave
387,wave,10.3885545549858,20.9074646844337,18.781938414267,-7.36992242915241,10.1011957255918,wave,wave,wave
388,wave,10.3391417655623,21.1516551612908,18.6803117334115,-7.31541439087004,10.1912249954008,wave,wave,wave
389,wave,10.1784955302035,20.4264534045416,18.136915092675,-6.92689306049531,10.0087996538185,wave,wave,wave
390,wave,10.4974748900006,21.4632212697353,19.0834032282351,-7.55858657576821,10.2104182422814,wave,wave,wave
391,wave,10.1892617647019,20.2707110989529,18.9819377959865,-7.75768543734117,8.51862103279877,wave,wave,wave
392,wave,10.3895379431189,21.1075967503083,19.0239867012314,-7.60628041939788,9.75875813627145,wave,wave,wave
393,wave,10.3604647846911,21.1129692399495,18.6241488902137,-7.22959755388322,9.77110416188199,wave,wave,wave
394,wave,10.3856469664232,20.3376907453413,18.5816971511734,-7.16708362784948,9.70033591383057,wave,wave,wave
395,wave,10.4996851664329,21.2943204242872,18.8944946091056,-7.36186498067717,10.2245931993804,wave,wave,wave
396,wave,10.2509890671282,20.7541017214666,18.8781339336311,-7.58305067936034,8.71169944768614,wave,wave,wave
397,wave,10.3704502014328,20.8293501701831,18.2157280909532,-6.81738186831564,10.6724931254138,wave,wave,wave
398,wave,10.4789291126228,20.9961950509433,18.9866735807643,-7.48190194445751,9.90040715860181,wave,wave,wave
399,wave,10.1996190804142,21.4098311378778,19.3049287470163,-8.07479006624188,9.02704876107837,wave,wave,wave
400,wave,10.2350170842133,20.7549828154329,18.3898088415827,-7.12878388859874,10.2251049162633,wave,wave,wave
401,wave,10.4952553995184,20.7941494084357,18.7217523497158,-7.21195762585187,10.3143193524748,wave,wave,wave
402,wave,10.4797042506723,21.367656251851,18.7628832213565,-7.25261086136981,10.4598856006922,wave,wave,wave
403,wave,10.190860724827,21.0484526718917,19.4729180908593,-8.24033449702645,8.35284868955937,wave,wave,wave
